Ticker,Nome,Preço,P/VP,Dividend Yield,Dividendo Mensal Est.,Score (0-5)
GRWA11,Greenwich Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro - Imobiliario,R$ 7.40,0.72,14.46%,R$ 1.07,5.0
AAZQ11,Az Quest Sole Fundo De Investimento Nas Cadeias Produtivas Do Agronegocio - Fiagro - Imobiliario,R$ 6.36,0.74,30.0%,R$ 0.73,5.0
LSAG11,LESTE FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS- FIAGRO - IMOBILIÁRIO,R$ 74.02,0.76,17.33%,R$ 0.09,5.0
PLCA11,Plural Credito Agro - Fiagro - Imobiliario,R$ 73.14,0.76,15.45%,R$ 0.09,5.0
XPCA11,Xp Credito Agricola - Fundo De Investimento Nas Cadeias Produtivas - Fiagro - Imobiliario,R$ 7.40,0.76,17.57%,R$ 0.91,5.0
CPTR11,Capitania Agro Strategies - Fiagro - Imobiliario Fund,R$ 7.82,0.78,17.01%,R$ 0.10,5.0
RURA11,Itau Asset Rural Fiagro - Imobiliario,R$ 8.06,0.78,15.24%,R$ 1.03,5.0
RZAG11,Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Riza Agro - Fiagro - Imobiliario,R$ 8.21,0.82,16.75%,R$ 0.01,5.0
OIAG11,Ourinvest Innovation - Fiagro Imobiliario,R$ 8.15,0.83,17.42%,R$ 1.42,5.0
EGAF11,Ecoagro I Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,R$ 83.51,0.84,18.42%,R$ 13.33,5.0
FGAA11,FG/Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario,R$ 8.13,0.86,17.28%,R$ 1.13,5.0
VGIA11,Valora Cra Fundo De Investimento In Agroindustrial Production Chains - Fiagro-Imobiliário,R$ 8.31,0.86,19.86%,R$ 0.13,5.0
FZDB11,051 Agro Fazendas Iii Fundo De Investimento Nas Cadeias Produtivas Agroindustriais,R$ 154.46,0.86,26.52%,R$ 40.96,5.0
KNCA11,Kinea Credito Agro Fiagro-Imobiliario,R$ 89.08,0.89,13.4%,R$ 11.97,5.0
CRAA11,Sparta Fiagro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Imobiliario,R$ 91.15,0.9,15.96%,R$ 10.94,5.0
SNFZ11,Suno Fazendas Fiagro - Imobiliario,R$ 9.50,0.96,12.63%,R$ 1.15,5.0
BTAG11,Btg Pactual Credito Agrocola Fundo De Investimento Em Cotas Fiagro Direitos Creditorios,R$ 100.96,0.96,15.65%,R$ 15.75,5.0
SNAG11,Suno Agro - Fiagro-Imobiliario,R$ 9.89,0.97,15.87%,R$ 1.40,5.0
AAGR11,FIAGRO AAGR CI,R$ 133.00,0.17,12.57%,R$ 22.02,4.0
VCRA11,Vectis Datagro Crédito Agronegócio - Fi Nas Cadeias Produtivas Do Agronegócio Resp Limitada,R$ 55.84,0.54,18.5%,R$ 6.50,4.0
GCRA11,Galapagos Recebiveis Do Agronegocio Fiagro Imobiliario,R$ 49.74,0.57,16.32%,R$ 4.66,4.0
JGPX11,Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Jgp Credito Fiagro Imobiliario,R$ 59.55,0.62,17.55%,R$ 6.72,4.0
DCRA11,Devant Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario,R$ 6.74,0.68,16.77%,R$ 0.62,4.0
BBGO11,Bb Fundo De Investimento De Credito Fiagro-Imobiliario,R$ 65.11,0.69,16.16%,R$ 6.56,4.0
BRFT11,Bradesco Farmtech Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Fiagro - Dc,R$ 76.00,,17.25%,R$ 13.11,3.0
KOPA11,Kinea Oportunidades Agro I Fiagro - Responsabilidade Limitada,R$ 283.98,0.83,30.0%,R$ 100.00,3.0
KDOL11,Kinea Agro Income Usd Fiagro-Imobiliario,R$ 83.91,0.88,5.86%,R$ 4.23,3.0
ROCA11,FIAGRO ROCA CI,R$ 10.70,1.04,1.8%,R$ 0.19,3.0
VHFA11,FIAGRO VHFA CI,R$ 10.80,1.17,23.06%,R$ 1.48,3.0
LAFI11,FIAGRO LAFI CI,R$ 121.80,,11.26%,R$ 13.71,2.0
RZNE11,FIAGRO RZNE CI,R$ 8.29,0.61,30.0%,R$ 14.85,2.0
HGAG11,High Fundo De Investimento Agro - Fiagro - Imobiliario,R$ 14.99,0.64,8.87%,R$ 1.08,2.0
IAGR11,Sfi Investimentos Do Agronegocio - Fiagro Imobiliario,R$ 4.33,0.64,1.66%,R$ 0.07,2.0
FTCA11,Nch Recebiveis Do Agronegocio - Fiagro Imobiliario,R$ 7.25,0.69,2.8%,R$ 0.10,2.0
FZDA11,FIAGRO FZDA CI,R$ 130.00,0.69,3.32%,R$ 36.97,2.0
AGRX11,Fiagro Agrx,R$ 8.13,0.78,0.0%,,2.0
CTEM11,FIAGRO CTEM CI,R$ 7.48,0.0,0.0%,,1.0
NEXG11,FIAGRO NEXG CI  ES,R$ 128.90,1.29,8.63%,R$ 13.92,1.0
