Ticker,Nome,Preço,P/VP,Dividend Yield,Dividendo Mensal Est.,Score (0-5)
BCRI11,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,R$ 59.99,0.71,16.2%,R$ 9.48,5.0
OUJP11,Ourinvest Jpp Fundo Investimento Imobiliario - Fii,R$ 71.88,0.71,19.17%,R$ 18.96,5.0
LIFE11,Life Capital Partners Fundo De Investimentos Imobiliarios,R$ 7.26,0.73,19.83%,R$ 1.44,5.0
VRTM11,FII VRTM    CI,R$ 6.91,0.73,15.63%,R$ 1.08,5.0
XPIN11,Xp Industrial Fundo Investimento Imobiliario,R$ 62.04,0.74,17.47%,R$ 11.58,5.0
VCJR11,Vectis Juros Real Fundo De Investimento Imobiliario - Fii,R$ 70.65,0.75,15.46%,R$ 15.00,5.0
HABT11,Habitat Ii - Fundo De Investimento Imobiliario,R$ 71.58,0.75,16.23%,R$ 11.64,5.0
XPSF11,XP Selection Fundo De Fundos De Investimento Imobiliario - FII,R$ 6.13,0.75,13.38%,R$ 0.84,5.0
ITIT11,Ifi E Inter Fundo De Investimento Imobiliario,R$ 61.53,0.76,11.08%,R$ 7.68,5.0
RPRI11,RBR Premium Recebiveis Imobiliarios Fundo De Investimento Imobiliario,R$ 76.09,0.76,15.57%,R$ 16.80,5.0
JSAF11,Js Ativos Financeiros Fundo De Investimento Imobiliario,R$ 7.16,0.76,13.77%,R$ 0.96,5.0
VCRI11,Vinci Credit Securities Fundo De Investimento Imobiliario,R$ 7.30,0.77,25.0%,R$ 1.14,5.0
RBRX11,Rbr Alpha Plus Multiestrategia Real Estate Fundo De Investimento Imobiliario,R$ 7.61,0.78,14.19%,R$ 1.08,5.0
IRIM11,Iridium Fundo De Investimento Imobiliario,R$ 65.66,0.78,15.37%,R$ 14.16,5.0
RBFM11,FII RIOB MT CI,R$ 10.34,0.79,13.15%,R$ 1.30,5.0
GTWR11,Fundo Investimento Imobiliario Green Towers,R$ 80.12,0.79,13.48%,R$ 10.80,5.0
ITRI11,Itau Total Return Fundo De Investimento Imobiliario,R$ 77.00,0.79,13.64%,R$ 10.20,5.0
ALZC11,Alianza Crédito Imobiliário Fundo De Investimento Imobiliário,R$ 7.37,0.8,16.58%,R$ 1.44,5.0
VRTA11,Fator Veritá Fundo de Investimento Imobiliário - FII,R$ 73.15,0.8,13.94%,R$ 10.20,5.0
HFOF11,Hedge Top Fofii 3 Fundo Investimento Imobilirio,R$ 6.39,0.8,10.89%,R$ 0.72,5.0
KISU11,Kilima Fundo De Investimento Em Cotas De Fundos Imobiliarios Suno 30,R$ 6.41,0.8,14.02%,R$ 0.84,5.0
CPTS11,Capitania Securities II Fundo Investimento Imobiliario FII,R$ 7.50,0.81,14.28%,R$ 1.08,5.0
TEPP11,SDI Properties Fundo De Investimento Imobiliario,R$ 7.87,0.81,14.5%,R$ 1.57,5.0
RBRR11,Fundo Investimento Imobiliario - FII RBR Rendimento High Grade,R$ 76.22,0.81,13.03%,R$ 11.76,5.0
RBVA11,Fundo Invest Imobiliario Agencias Caixa - FII Fund,R$ 8.94,0.82,11.07%,R$ 1.08,5.0
CCME11,Canuma Capital Multiestrategia Fundo De Investimento Imobiliario,R$ 8.70,0.82,11.82%,R$ 1.13,5.0
PMIS11,Paramis Hedge Fund Fundo De Investimento Imobiliario - Fii,R$ 7.75,0.82,14.63%,R$ 1.19,5.0
FYTO11,Fii Nch Brasil Recebiveis Imobiliarios Para Fii Fyto Recebiveis Imob,R$ 8.14,0.82,14.85%,R$ 1.23,5.0
PCIP11,Fundo De Investimento Imobiliario VBI Credito,R$ 76.40,0.82,13.14%,R$ 12.84,5.0
FATN11,BRC Renda Corporativa FII - FII Athena I,R$ 79.74,0.83,12.04%,R$ 9.60,5.0
SPXS11,Fundo De Investimento Imobiliario - Spx Syn Multiestrategia,R$ 7.83,0.83,15.48%,R$ 1.18,5.0
MCRE11,Maua Capital Real Estate Fundo De Investimento Imobiliario,R$ 8.46,0.83,15.6%,R$ 1.32,5.0
JSCR11,FII JSCR    CI,R$ 7.99,0.84,14.67%,R$ 1.22,5.0
PORD11,Polo Credito Imobiliario - Fundo de Investimento Imobiliario,R$ 8.42,0.85,14.05%,R$ 1.18,5.0
GAME11,Fundo De Investimento Imobiliario Guardian Multiestrategia Imobiliaria I,R$ 8.20,0.85,14.27%,R$ 1.20,5.0
CPSH11,Capitania Shoppings Fundo De Investimento Imobiliario,R$ 9.71,0.85,13.8%,R$ 1.32,5.0
HSAF11,Hsi Ativos Financeiros Fundos Investimentos Imoliarios,R$ 76.31,0.85,13.69%,R$ 11.40,5.0
RBRY11,Fundo Investimeto Imobiliario Rbr Private Credito Imobiliario,R$ 85.61,0.86,16.03%,R$ 12.00,5.0
GARE11,Guardian Logistica Fundo De Investimento Imobiliario,R$ 8.17,0.86,11.18%,R$ 1.00,5.0
VGIP11,Valora Cri Indice De Preco Fundo De Investimento Imobiliario,R$ 78.48,0.86,12.74%,R$ 10.00,5.0
XPLG11,Xp Log Fundo Investimento Imobiliario FII,R$ 91.83,0.86,10.72%,R$ 9.84,5.0
PMLL11,Patria Malls Fundo De Investimento Imobiliario,R$ 101.60,0.87,10.14%,R$ 12.00,5.0
BTHF11,Btg Pactual Real Estate Hedge Fund Fii Fundo De Investimento Imobiliario,R$ 8.85,0.88,13.24%,R$ 1.21,5.0
BTCI11,Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario,R$ 9.11,0.88,12.86%,R$ 1.26,5.0
RZAK11,Riza Akin Fundo De Investimento Imobiliario – FII,R$ 78.28,0.89,15.39%,R$ 12.60,5.0
TVRI11,BB Progressivo II Fundo de Investimento Imobiliário - FII,R$ 91.45,0.89,13.78%,R$ 12.60,5.0
RZTR11,Fundo De Investimento Imobiliario Riza Terrax,R$ 87.51,0.89,13.6%,R$ 10.80,5.0
GGRC11,Ggr Covipe Renda Fundo Investimento Imobiliario,R$ 9.89,0.9,11.12%,R$ 1.20,5.0
RECR11,Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios,R$ 79.83,0.9,12.55%,R$ 12.91,5.0
WHGR11,Whg Real Estate Fundo De Investimento Imobiliario – Fii,R$ 8.94,0.9,13.42%,R$ 1.20,5.0
TRXF11,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,R$ 91.54,0.9,11.87%,R$ 18.00,5.0
SAPI11,Santander Títulos Imobiliarios Fundo De Investimento Imobiliario,R$ 9.09,0.91,15.86%,R$ 1.42,5.0
RZAT11,Riza Arctium Real Estate Fundo De Investimento Imobiliario,R$ 92.47,0.91,15.19%,R$ 20.40,5.0
ICRI11,FII CI IPCA CI,R$ 92.74,0.91,12.89%,R$ 13.20,5.0
CYCR11,Cyrela Credito - Fundo De Investimento Imobiliario,R$ 8.62,0.91,14.76%,R$ 1.27,5.0
GRUL11,Icatu Vanguarda Gru Logistico Fundo De Investimento Imobiliario Responsabilidade Limitada,R$ 8.73,0.91,11.34%,R$ 0.96,5.0
XPCI11,Xp Credito Imobiliario ae Fundo De Investimento Imobiliario,R$ 83.16,0.93,13.07%,R$ 11.40,5.0
KCRE11,Kinea Creditas Fundo De Investimento Imobiliario - FII,R$ 8.84,0.93,13.01%,R$ 1.56,5.0
HREC11,Hedge Recebiveis Fundo De Investimento Imobiliario,R$ 8.28,0.93,12.32%,R$ 1.14,5.0
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,R$ 9.93,0.93,10.09%,R$ 1.00,5.0
RINV11,Real Investor Fundo De Investimento Imobiliario Responsabilidade Limitada,R$ 103.30,0.94,13.02%,R$ 16.80,5.0
KNHF11,Kinea Hedge Fund Fundo De Investimento Imobiliario,R$ 95.66,0.95,12.54%,R$ 12.00,5.0
HGCR11,CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII,R$ 93.70,0.95,12.65%,R$ 11.40,5.0
XPML11,Xp Malls Fundo Investimentos Imobiliarios,R$ 104.40,0.95,10.57%,R$ 11.04,5.0
VGIR11,Valora Re III Fundo De Investimento Imobiliario,R$ 9.42,0.96,16.14%,R$ 1.52,5.0
MANA11,Manati Capital Hedge Fund Fundo De Investimento Imobiliario,R$ 9.13,0.97,13.53%,R$ 1.50,5.0
KNIP11,Kinea Indices Precos Fundo Investimento Imobiliario - FII,R$ 90.60,0.97,11.05%,R$ 13.44,5.0
MXRF11,Maxi Renda Fundo De Investimento Imobiliaro - FII,R$ 9.68,0.98,12.34%,R$ 1.20,5.0
SNME11,Suno Multiestrategia Fundo De Investimento Imobiliario,R$ 9.37,0.98,16.97%,R$ 2.64,5.0
AFHF11,AF Invest Real Estate Multiestrategia Fundo De Investimento Imobiliario Responsabilidade Limitada,R$ 10.01,0.98,16.13%,R$ 2.64,5.0
MCCI11,Fundo De Investimento Imobiliario Maua Capital Recebiveis Imobiliarios,R$ 94.10,0.98,12.75%,R$ 12.00,5.0
KNHY11,Kinea High Yield Cri Fundo Investimento Imobiliario FII,R$ 99.94,1.01,13.19%,R$ 14.40,5.0
SNEL11,Fundo De Investimento Imobiliario Suno Energias Limpas,R$ 8.36,1.02,14.35%,R$ 1.20,5.0
KNSC11,Kinea Securities Fundo De Investimento Imobiliario – Fii,R$ 9.06,1.03,12.58%,R$ 1.20,5.0
KNUQ11,FII KINEA UNCI,R$ 104.89,1.03,14.27%,R$ 13.80,5.0
HCTR11,Fundo De Investimento Imobiliario Hectare Ce,R$ 16.11,0.15,21.42%,R$ 3.45,4.0
VSLH11,Versalhes Recebiveis Imobiliarios - Fundo De Investimento Imobiliario,R$ 1.80,0.17,18.83%,R$ 0.36,4.0
CACR11,Supernova Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,R$ 16.66,0.18,25.0%,R$ 2.76,4.0
URPR11,Urca Prime Renda Fundo De Investimento Imobiliario - FII,R$ 19.05,0.19,21.99%,R$ 3.60,4.0
DEVA11,Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario,R$ 18.40,0.19,21.85%,R$ 4.08,4.0
VIUR11,Vinci Imoveis Urbanos Fundo De Investimento Imobiliario,R$ 2.24,0.29,25.0%,R$ 1.16,4.0
RECT11,Fundo De Investimento Imobiliario - FII UBS Office,R$ 35.35,0.34,13.86%,R$ 5.40,4.0
TGAR11,Fundo Investimento Imobiliario TG Ativo Real,R$ 50.46,0.45,20.43%,R$ 8.64,4.0
GZIT11,Gazit Malls Fundo De Investimento Imobiliario,R$ 40.72,0.45,17.68%,R$ 5.04,4.0
VINO11,Vinci Corporate Fundo De Investimento Imobiliario,R$ 4.61,0.47,11.87%,R$ 0.50,4.0
BRCR11,Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,R$ 40.30,0.47,12.21%,R$ 4.92,4.0
MFII11,Mérito Desenvolvimento Imobiliário I FII - Fundo de Investimento Imobiliário,R$ 49.37,0.5,24.89%,R$ 10.92,4.0
BBIG11,Bb Premium Malls Fundo De Investimento Imobiliário De Responsabilidade Limitada,R$ 5.23,0.54,16.63%,R$ 0.24,4.0
BROF11,Brpr Corporate Offices Fundo De Investimento Imobiliario,R$ 60.16,0.55,10.56%,R$ 6.84,4.0
RBRP11,Fundo Investimento Imobiliario Rbr Properties Fii,R$ 45.99,0.56,10.44%,R$ 4.80,4.0
KORE11,Kinea Oportunidades Real Estate Fundo De Investimento Imobiliario,R$ 66.31,0.62,16.74%,R$ 7.20,4.0
TOPP11,Rbr Top Offices Fundo De Investimento Imobiliario Responsabilidade Limitada,R$ 67.00,0.63,15.21%,R$ 11.40,4.0
VGRI11,Valora Renda Imobiliaria Fundo De Investimento Imobiliario - Responsabilidade Limitada,R$ 5.72,0.65,22.03%,R$ 0.90,4.0
VGHF11,Valora Hedge Fund Fundo De Investimento Imobiliario - Fii,R$ 5.84,0.67,15.24%,R$ 0.84,4.0
TRBL11,SDI Logística Rio - Fundo de Investimento Imobiliário - FII,R$ 57.24,0.69,17.75%,R$ 32.16,4.0
HGRE11,CSHG Real Estate - Fundo de Investimento Imobiliario - FII,R$ 120.23,0.73,9.56%,R$ 18.00,4.0
PSEC11,Patria Securities Fundo De Investimento Imobiliário - Responsabilidade Limitada,R$ 54.50,0.75,8.07%,R$ 6.60,4.0
VILG11,Vinci Logistica Fundo Investimento Imobiliario FII,R$ 92.85,0.82,9.95%,R$ 9.84,4.0
HSLG11,Hsi Logistica Fundo De Investimento Imobiliario,R$ 91.12,0.83,9.35%,R$ 8.88,4.0
HSML11,Hsi Malls Fundo De Investimento Imobiliario,R$ 86.60,0.83,9.72%,R$ 9.00,4.0
LVBI11,Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund,R$ 102.52,0.85,8.78%,R$ 9.00,4.0
BRCO11,Bresco - Fundo De Investimento Imobiliario,R$ 114.30,0.88,9.52%,R$ 12.60,4.0
VISC11,Vinci Shopping Centers Fundo Investimento Imobiliario - Fii,R$ 105.45,0.9,9.39%,R$ 10.08,4.0
HGBS11,HEDGE Brasil Shopping Fundo de Investimento Imobiliário,R$ 19.20,0.93,9.95%,R$ 2.04,4.0
HGLG11,Cshg Logistica - Fundo De Investimento Imobiliario,R$ 147.00,0.93,8.98%,R$ 13.20,4.0
