Ticker,Nome,Setor,Preço,P/L,P/VP,Dividend Yield,ROE,LPA,VPA,Preço Justo Graham,Preço Teto Bazin,Score (0-5)
# Exportado em:,2026-09-22 02:35:07,,,,,,,,,,,
ABCB4,Banco ABC Brasil S.A.,Serviços Financeiros,R$ 25.28,4.54,0.9,10.68%,14.9%,5.57,28.17,R$ 59.42,R$ 39.00,5.0
BBAS3,Banco do Brasil S.A.,Serviços Financeiros,R$ 22.99,10.69,0.72,30.0%,10.55%,2.15,31.88,R$ 39.27,R$ 2.33,5.0
AXIA3,AXIA Energia SA,Utilidade Pública,R$ 55.15,10.54,1.29,6.78%,10.01%,5.23,42.63,R$ 70.83,R$ 60.83,5.0
BBDC4,Banco Bradesco S.A.,Serviços Financeiros,R$ 18.16,8.29,1.06,8.55%,13.76%,2.19,17.15,R$ 29.07,R$ 3.83,5.0
BRSR6,Banco do Estado do Rio Grande do Sul S.A.,Serviços Financeiros,R$ 15.16,3.78,0.52,10.14%,14.48%,4.01,28.96,R$ 51.12,R$ 14.67,5.0
BBDC3,Banco Bradesco S.A.,Serviços Financeiros,R$ 16.02,7.32,0.93,8.81%,13.76%,2.19,17.15,R$ 29.07,R$ 3.50,5.0
CMIG4,Companhia Energética de Minas Gerais - CEMIG,Utilidade Pública,R$ 11.29,6.97,1.11,11.34%,15.94%,1.62,10.2,R$ 19.28,R$ 22.50,5.0
CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumo Cíclico,R$ 27.65,5.95,1.08,9.87%,20.59%,4.65,25.63,R$ 51.78,R$ 63.33,5.0
ECOR3,EcoRodovias Infraestrutura e Logística S.A.,Bens Industriais,R$ 8.73,11.05,1.48,30.0%,12.31%,0.79,5.91,R$ 10.25,R$ 5.00,5.0
EVEN3,Even Construtora e Incorporadora S.A.,Imobiliário,R$ 4.21,3.42,0.43,21.76%,11.13%,1.23,9.7,R$ 16.38,R$ 15.33,5.0
EZTC3,EZTEC Empreendimentos e Participações S.A.,Imobiliário,R$ 13.82,8.38,0.73,7.17%,10.55%,1.65,18.86,R$ 26.46,R$ 6.33,5.0
INTB3,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Bens Industriais,R$ 14.88,8.13,1.47,8.08%,18.59%,1.83,10.09,R$ 20.39,R$ 21.00,5.0
JHSF3,JHSF Participações S.A.,Imobiliário,R$ 11.65,3.76,1.03,6.13%,29.33%,3.1,11.32,R$ 28.11,R$ 13.83,5.0
KEPL3,Kepler Weber S.A.,Bens Industriais,R$ 6.55,8.09,1.42,8.25%,18.31%,0.81,4.6,R$ 9.16,R$ 9.00,5.0
LREN3,Lojas Renner S.A.,Consumo Cíclico,R$ 11.59,7.73,1.07,7.76%,14.46%,1.5,10.79,R$ 19.08,R$ 15.33,5.0
PETR3,Petróleo Brasileiro S.A. - Petrobras,Energia,R$ 52.88,5.21,1.42,6.93%,30.27%,10.15,37.32,R$ 92.31,R$ 72.33,5.0
POMO4,Marcopolo S.A.,Bens Industriais,R$ 4.23,4.41,1.24,21.85%,28.32%,0.96,3.42,R$ 8.59,R$ 17.83,5.0
PETR4,Petróleo Brasileiro S.A. - Petrobras,Energia,R$ 48.00,4.73,1.29,7.63%,30.27%,10.15,37.32,R$ 92.31,R$ 72.33,5.0
RECV3,Petroreconcavo S.A.,Energia,R$ 10.85,6.38,0.72,15.72%,11.25%,1.7,15.11,R$ 24.04,R$ 11.33,5.0
SANB11,Banco Santander (Brasil) S.A.,Serviços Financeiros,R$ 29.92,14.62,0.88,7.71%,11.15%,2.05,34.0,R$ 39.56,R$ 35.67,5.0
SMTO3,São Martinho S.A.,Materiais Básicos,R$ 18.53,7.56,0.81,14.25%,11.34%,2.45,22.85,R$ 35.49,R$ 3.67,5.0
SUZB3,Suzano S.A.,Materiais Básicos,R$ 47.25,7.19,1.33,28.44%,17.6%,6.57,35.45,R$ 72.39,R$ 18.67,5.0
ISAE4,ISA Energía Brasil S.A.,Utilidade Pública,R$ 27.37,6.39,0.81,6.76%,13.19%,4.28,33.63,R$ 56.91,R$ 44.00,5.0
VLID3,Valid Soluções S.A.,Bens Industriais,R$ 17.64,6.12,0.83,10.58%,13.44%,2.88,21.35,R$ 37.20,R$ 31.17,5.0
AZZA3,Azzas 2154 S.A.,Consumo Cíclico,R$ 14.98,3.0,0.38,16.53%,3.96%,4.99,39.77,R$ 66.82,R$ 41.33,4.0
ALUP11,Alupar Investimento S.A.,Utilidade Pública,R$ 32.65,7.82,1.12,3.31%,15.84%,4.17,29.25,R$ 52.40,R$ 12.50,4.0
CEAB3,C&A Modas S.A.,Consumo Cíclico,R$ 9.53,5.12,0.75,5.47%,15.49%,1.86,12.68,R$ 23.03,R$ 15.00,4.0
BRAP4,Bradespar S.A.,Serviços Financeiros,R$ 20.91,14.94,1.02,11.27%,6.95%,1.4,20.48,R$ 25.40,R$ 58.17,4.0
CMIG3,Companhia Energética de Minas Gerais - CEMIG,Utilidade Pública,R$ 17.20,10.62,1.69,8.12%,15.94%,1.62,10.2,R$ 19.28,R$ 24.50,4.0
CPFE3,CPFL Energia S.A.,Utilidade Pública,R$ 45.23,8.68,2.29,8.25%,27.28%,5.21,19.71,R$ 48.07,R$ 62.17,4.0
DIRR3,Direcional Engenharia S.A.,Imobiliário,R$ 10.18,6.25,2.27,15.23%,41.88%,1.63,4.47,R$ 12.81,R$ 44.00,4.0
HYPE3,Hypera S.A.,Saúde,R$ 24.12,9.14,1.18,4.58%,13.16%,2.64,20.5,R$ 34.89,R$ 17.50,4.0
ITSA4,Itaúsa S.A.,Bens Industriais,R$ 14.34,8.85,1.71,7.86%,18.92%,1.62,8.37,R$ 17.47,R$ 1.67,4.0
ITUB4,Itau Unibanco Holding SA Pfd,Serviços Financeiros,R$ 43.08,11.11,2.18,7.19%,21.5%,4.25,19.75,R$ 43.44,R$ 51.64,4.0
MDIA3,M. Dias Branco S.A. Indústria e Comércio de Alimentos,Consumo Defensivo,R$ 16.89,8.8,0.67,6.25%,7.81%,1.92,25.29,R$ 33.05,R$ 6.00,4.0
PRIO3,Prio S.A.,Energia,R$ 61.05,12.8,1.73,17.13%,14.22%,4.77,35.35,R$ 61.59,R$ 174.34,4.0
PSSA3,Porto Seguro S.A.,Serviços Financeiros,R$ 49.46,8.71,1.97,6.09%,24.17%,5.68,25.16,R$ 56.70,R$ 34.17,4.0
TIMS3,TIM S.A.,Telecomunicações,R$ 19.46,10.81,1.9,7.48%,17.25%,1.8,10.22,R$ 20.35,R$ 27.83,4.0
VIVA3,Vivara Participações S.A.,Consumo Cíclico,R$ 23.82,9.57,1.85,6.01%,19.7%,2.49,12.89,R$ 26.87,R$ 22.67,4.0
VIVT3,Telefônica Brasil S.A.,Telecomunicações,R$ 30.73,14.99,1.5,8.18%,9.87%,2.05,20.54,R$ 30.78,R$ 31.33,4.0
ASAI3,Sendas Distribuidora S.A.,Consumo Defensivo,R$ 10.22,14.19,2.16,14.09%,16.16%,0.72,4.74,R$ 8.76,R$ 2.00,3.0
ALOS3,Allos S.A.,Imobiliário,R$ 29.70,15.71,1.16,10.53%,7.59%,1.89,25.7,R$ 33.06,R$ 58.33,3.0
BBSE3,BB Seguridade Participações S.A.,Serviços Financeiros,R$ 39.82,8.42,7.1,11.53%,85.94%,4.73,5.61,R$ 24.43,R$ 76.50,3.0
CXSE3,Caixa Seguridade Participações S.A.,Serviços Financeiros,R$ 20.59,13.64,4.48,6.57%,33.35%,1.51,4.6,R$ 12.50,R$ 23.33,3.0
EGIE3,Engie Brasil Energia S.A.,Utilidade Pública,R$ 30.32,8.81,2.31,5.73%,28.59%,3.44,13.14,R$ 31.89,R$ 29.00,3.0
MOTV3,Motiva Infraestrutura de Mobilidade S.A.,Bens Industriais,R$ 16.50,9.82,1.87,5.64%,21.97%,1.68,8.83,R$ 18.27,R$ 13.17,3.0
MGLU3,Magazine Luiza S.A.,Consumo Cíclico,R$ 5.98,52.43,0.42,16.32%,0.79%,0.11,14.39,R$ 6.08,R$ 16.27,3.0
RENT3,Localiza Rent a Car S.A.,Bens Industriais,R$ 37.44,11.89,1.53,5.58%,13.01%,3.15,24.54,R$ 41.70,R$ 35.67,3.0
SAPR4,Companhia de Saneamento do Paraná - SANEPAR,Utilidade Pública,R$ 6.85,24.46,0.17,30.0%,3.81%,0.28,40.05,R$ 15.88,R$ 3.83,3.0
TEND3,Construtora Tenda S.A.,Imobiliário,R$ 29.24,6.19,2.33,5.0%,40.6%,4.72,12.55,R$ 36.51,R$ 24.33,3.0
VBBR3,Vibra Energia S.A.,Consumo Cíclico,R$ 39.62,9.32,2.01,4.99%,22.62%,4.25,19.67,R$ 43.37,R$ 33.00,3.0
AURE3,Auren Energia S.A.,Utilidade Pública,R$ 12.61,,1.14,30.0%,-7.68%,-1.04,11.02,R$ 0.00,R$ 1.00,2.0
BEEF3,Minerva S.A.,Consumo Defensivo,R$ 3.92,10.05,2.46,4.99%,23.22%,0.39,1.59,R$ 3.74,R$ 2.00,2.0
